Longitude,Latitude,UTC_Time,Mean,UTMX,UTMY
-111.9900084,33.0732765,140106,24.21428571,407592.189,3659846.128
-111.9900113,33.0732779,140107,24.69230769,407591.9198,3659846.286
-111.9900128,33.0732797,140108,24.85714286,407591.7816,3659846.487
-111.9900154,33.0732801,140109,27,407591.5394,3659846.533
-111.9900194,33.07328,140110,29.53846154,407591.1659,3659846.526
-111.9900234,33.0732804,140111,28.42857143,407590.7929,3659846.574
-111.9900271,33.0732812,140112,28.92857143,407590.4484,3659846.665
-111.9900373,33.0732805,140113,29.76923077,407589.4955,3659846.597
-111.9900521,33.073281,140114,24.21428571,407588.1146,3659846.665
-111.9900598,33.0732847,140115,21.64285714,407587.3997,3659847.082
-111.990059,33.0732883,140116,28,407587.4781,3659847.481
-111.990058,33.0732904,140117,34.42857143,407587.5737,3659847.713
-111.9900584,33.0732921,140118,39.23076923,407587.5381,3659847.902
-111.9900579,33.0732938,140119,38.42857143,407587.5866,3659848.09
-111.9900589,33.0732961,140120,39.57142857,407587.4956,3659848.345
-111.9900581,33.073299,140121,39.15384615,407587.5733,3659848.666
-111.9900581,33.0733041,140122,26.28571429,407587.5787,3659849.232
-111.9900591,33.0733094,140123,16.46153846,407587.4909,3659849.82
-111.9900561,33.0733113,140124,17.78571429,407587.7729,3659850.028
-111.9900507,33.0733119,140125,27,407588.2776,3659850.09
-111.9900446,33.0733131,140126,36.15384615,407588.8482,3659850.218
-111.9900397,33.0733152,140127,37.21428571,407589.3078,3659850.446
-111.9900392,33.0733168,140128,37.21428571,407589.3561,3659850.623
-111.9900409,33.0733174,140129,37.23076923,407589.1981,3659850.691
-111.9900364,33.0733231,140130,39.85714286,407589.6241,3659851.319
-111.9900328,33.073332,140131,41.23076923,407589.9694,3659852.303
-111.9900351,33.0733405,140132,41,407589.7636,3659853.247
-111.9900392,33.0733485,140133,39.78571429,407589.3893,3659854.138
-111.990041,33.0733567,140134,35.23076923,407589.2298,3659855.048
-111.9900429,33.0733651,140135,33.28571429,407589.0613,3659855.981
-111.9900448,33.0733733,140136,33.21428571,407588.8925,3659856.892
-111.9900433,33.0733815,140137,32.46153846,407589.0411,3659857.8
-111.9900407,33.07339,140138,33.57142857,407589.2927,3659858.74
-111.9900396,33.0733983,140139,32.30769231,407589.404,3659859.659
-111.9900349,33.0734069,140140,31.85714286,407589.8517,3659860.608
-111.9900315,33.0734152,140141,27.28571429,407590.1778,3659861.526
-111.9900317,33.0734234,140142,25.61538462,407590.1677,3659862.435
-111.9900339,33.0734318,140143,26.85714286,407589.9711,3659863.368
-111.9900367,33.0734398,140144,31.42857143,407589.7181,3659864.258
-111.9900385,33.0734477,140145,32.76923077,407589.5583,3659865.135
-111.9900407,33.0734556,140146,32.57142857,407589.3613,3659866.013
-111.9900415,33.0734636,140147,32.07692308,407589.2949,3659866.901
-111.9900419,33.0734719,140148,32.07142857,407589.2663,3659867.821
-111.9900421,33.0734802,140149,30.21428571,407589.2563,3659868.741
-111.9900413,33.0734887,140150,28.46153846,407589.3399,3659869.683
-111.9900417,33.0734971,140151,29.5,407589.3113,3659870.615
-111.9900406,33.0735055,140152,30.42857143,407589.4228,3659871.545
-111.9900389,33.0735138,140153,28,407589.5901,3659872.464
-111.9900385,33.0735219,140154,26.35714286,407589.6359,3659873.361
-111.9900403,33.07353,140155,27.92857143,407589.4764,3659874.261
-111.990041,33.0735381,140156,28.23076923,407589.4195,3659875.16
-111.9900396,33.0735462,140157,28.28571429,407589.5587,3659876.057
-111.99004,33.0735544,140158,25.69230769,407589.5299,3659876.966
-111.9900417,33.0735627,140159,26.42857143,407589.3799,3659877.888
-111.9900439,33.073571,140200,29.35714286,407589.1832,3659878.81
-111.9900454,33.0735792,140201,29.53846154,407589.0518,3659879.72
-111.9900444,33.0735874,140202,29.71428571,407589.1537,3659880.629
-111.9900444,33.0735956,140203,30.07692308,407589.1623,3659881.538
-111.9900452,33.0736036,140204,29.78571429,407589.0959,3659882.425
-111.9900448,33.0736119,140205,29.85714286,407589.142,3659883.345
-111.9900442,33.0736202,140206,32.07692308,407589.2066,3659884.265
-111.9900435,33.0736285,140207,32.14285714,407589.2807,3659885.184
-111.9900424,33.0736369,140208,32.42857143,407589.3921,3659886.115
-111.9900421,33.0736452,140209,32.23076923,407589.4288,3659887.035
-111.9900413,33.0736535,140210,30.21428571,407589.5122,3659887.954
-111.990042,33.0736619,140211,28.84615385,407589.4556,3659888.886
