Longitude,Latitude,Elevation,mEast,mNorth,Fix_Type,UTC_Time,Speed,Course,SF_1,SF_2,SF_3,SF_4,F14,F15
-111.978854,33.078994,357.06,408639.3256,3660470.23,2,185313.2,0.04,164.4,0,VERT,QUAD,33,,
-111.978854,33.078994,357.08,408639.3349,3660470.219,2,185313.8,0.11,142,0,VERT,QUAD,34,,
-111.978854,33.078994,357.07,408639.344,3660470.197,2,185314.8,0.4,158.5,0,VERT,QUAD,33,,
-111.978854,33.078994,357.04,408639.3443,3660470.23,2,185315.2,0.05,211.9,0,VERT,QUAD,34,,
-111.978854,33.078994,357.09,408639.3444,3660470.241,2,185315.4,0.38,358.3,0,VERT,QUAD,34,,
-111.978854,33.078994,357.07,408639.335,3660470.23,2,185315.6,0.49,195.6,0,VERT,QUAD,34,,
-111.978854,33.078994,357.06,408639.3351,3660470.241,2,185315.8,0.18,302.5,0,VERT,QUAD,34,,
-111.978854,33.078994,357.06,408639.3442,3660470.219,2,185317.8,0.1,147.3,0,VERT,QUAD,33,,
-111.978854,33.078994,357.01,408639.3352,3660470.252,2,185320.8,0.21,10.5,0,VERT,QUAD,34,,
-111.978854,33.078994,356.97,408639.3258,3660470.241,2,185322.4,0.33,281.5,0,VERT,QUAD,33,,
-111.978854,33.078994,356.9,408639.3441,3660470.208,2,185326.6,0.58,154.2,0,VERT,QUAD,33,,
-111.978854,33.078994,356.99,408639.3259,3660470.252,2,185328,0.45,331.2,0,VERT,QUAD,33,,
-111.978854,33.078994,356.96,408639.3353,3660470.263,2,185328.2,0.09,349.2,0,VERT,QUAD,32,,
-111.978853,33.078994,356.94,408639.3537,3660470.23,2,185330,0.25,116.9,0,HOR,QUAD,31,,
-111.978853,33.078994,356.93,408639.3535,3660470.219,2,185330.6,0.38,153.9,0,VERT,QUAD,32,,
-111.978854,33.078994,356.88,408639.3165,3660470.252,2,185336.4,0.25,291.4,0,VERT,QUAD,33,,
-111.978854,33.078994,356.86,408639.3073,3660470.264,2,185343.4,0.32,339.7,0,VERT,QUAD,34,,
-111.978854,33.078994,356.87,408639.3255,3660470.219,2,185344.6,0.58,172.5,0,VERT,QUAD,37,,
-111.978854,33.078994,356.88,408639.3253,3660470.197,2,185345,0.24,165.9,0,VERT,QUAD,36,,
-111.978854,33.078994,356.92,408639.3254,3660470.208,2,185345.4,0.17,340.8,0,VERT,QUAD,36,,
-111.978854,33.078994,356.89,408639.316,3660470.197,2,185345.6,0.34,183.7,0,VERT,QUAD,35,,
-111.978853,33.078995,356.88,408639.3641,3660470.352,2,185346.2,0.1,189.7,0,VERT,QUAD,36,,
-111.978853,33.078995,356.8,408639.402,3660470.407,2,185346.8,0.23,7.6,0,VERT,QUAD,36,,
-111.978857,33.078996,356.83,408639.0388,3660470.499,1,185347.4,0.21,359.4,0,VERT,QUAD,35,,
-111.978857,33.078996,356.86,408639.0387,3660470.488,1,185347.6,0.23,195,0,VERT,QUAD,35,,
-111.978857,33.078996,356.85,408639.0479,3660470.477,1,185347.8,0.31,128.4,0,VERT,QUAD,35,,
-111.978859,33.078997,356.87,408638.8341,3660470.567,1,185348.2,0.08,163.8,0,VERT,QUAD,35,,
-111.978859,33.078997,356.87,408638.8247,3660470.567,1,185348.4,0.1,329.2,0,VERT,QUAD,35,,
-111.978857,33.078998,357.05,408639.0592,3660470.687,2,185348.8,0.21,324.6,0,VERT,QUAD,35,,
-111.978855,33.078998,357.18,408639.2092,3660470.752,2,185349.2,0.26,145.4,0,VERT,QUAD,35,,
-111.978855,33.078999,357.13,408639.1999,3660470.764,2,185349.4,0.38,303.8,0,VERT,QUAD,35,,
-111.978855,33.078998,357.15,408639.1998,3660470.752,2,185349.6,0.49,144.8,0,VERT,QUAD,35,,
-111.978854,33.078999,357.27,408639.3029,3660470.796,2,185350.2,0.08,186.9,0,VERT,QUAD,35,,
-111.978854,33.078999,357.22,408639.2936,3660470.796,2,185350.4,0.41,310.6,0,VERT,QUAD,35,,
-111.978854,33.078999,357.22,408639.2935,3660470.785,2,185350.6,0.44,154.5,0,VERT,QUAD,35,,
-111.978853,33.078999,357.35,408639.4058,3660470.817,2,185351.2,0.09,330.7,0,VERT,QUAD,34,,
-111.978853,33.078999,357.33,408639.4057,3660470.806,2,185351.6,0.31,155.6,0,VERT,QUAD,34,,
-111.978853,33.078999,357.33,408639.415,3660470.806,2,185351.8,0.1,102.1,0,VERT,QUAD,35,,
-111.978853,33.078999,357.38,408639.4431,3660470.817,2,185352.2,0.16,173.7,0,VERT,QUAD,35,,
-111.978853,33.078999,357.35,408639.4339,3660470.828,2,185352.4,0.25,320.1,0,VERT,QUAD,35,,
-111.978853,33.078999,357.35,408639.4432,3660470.828,2,185352.8,0.18,36.5,0,VERT,QUAD,35,,
-111.978852,33.078998,357.18,408639.4795,3660470.717,2,185353.6,0.3,177.4,0,VERT,QUAD,35,,
-111.978853,33.078996,357.12,408639.4308,3660470.495,2,185354.6,0.31,165.7,0,VERT,QUAD,35,,
-111.978853,33.078996,357.12,408639.4309,3660470.506,2,185354.8,0.23,3.1,0,VERT,QUAD,36,,
-111.978853,33.078995,357.05,408639.4111,3660470.385,2,185355.2,0.07,163,0,VERT,QUAD,35,,
-111.978853,33.078995,357.01,408639.3825,3660470.318,2,185356.2,0.02,141.9,0,VERT,QUAD,36,,
-111.978853,33.078995,357,408639.3826,3660470.329,2,185356.4,0.22,335.8,0,VERT,QUAD,36,,
-111.978853,33.078995,357.01,408639.3824,3660470.307,2,185356.6,0.24,166.3,0,VERT,QUAD,35,,
-111.978853,33.078994,356.97,408639.3722,3660470.219,2,185357.8,0.21,332.8,0,VERT,QUAD,36,,
-111.978853,33.078994,356.95,408639.3723,3660470.23,2,185358,0.13,346.2,0,VERT,QUAD,36,,
-111.978853,33.078994,356.95,408639.3628,3660470.208,2,185358.2,0.24,204.5,0,VERT,QUAD,36,,
-111.978853,33.078994,356.95,408639.363,3660470.23,2,185358.4,0.21,358.3,0,VERT,QUAD,36,,
-111.978853,33.078994,356.97,408639.3629,3660470.219,2,185358.6,0.21,162.8,0,VERT,QUAD,36,,
-111.978853,33.078994,356.95,408639.3627,3660470.197,2,185359.6,0.31,173.4,0,VERT,QUAD,35,,
-111.978853,33.078994,356.95,408639.3533,3660470.197,2,185400.6,0.14,176.5,0,VERT,QUAD,34,,
-111.978853,33.078994,356.96,408639.3534,3660470.208,2,185401,0.05,324.4,0,VERT,QUAD,36,,
-111.978853,33.078994,356.97,408639.3721,3660470.208,2,185403,0.28,166.9,0,VERT,QUAD,35,,
-111.978853,33.078993,356.97,408639.3719,3660470.185,2,185403.6,0.34,177.3,0,VERT,QUAD,35,,
-111.978853,33.078994,356.96,408639.372,3660470.196,2,185403.8,0.18,346.3,0,VERT,QUAD,35,,
-111.978853,33.078993,356.97,408639.3812,3660470.185,2,185406.6,0.34,172.3,0,VERT,QUAD,35,,
-111.978853,33.078994,356.96,408639.3813,3660470.196,2,185406.8,0.2,25.7,0,VERT,QUAD,35,,
-111.978853,33.078993,356.94,408639.3626,3660470.185,2,185409.8,0.29,224.3,0,VERT,QUAD,36,,
-111.978853,33.078993,356.92,408639.3718,3660470.174,2,185412.6,0.31,163.7,0,VERT,QUAD,35,,
-111.978853,33.078993,356.92,408639.3625,3660470.174,2,185413.2,0.07,15.9,0,VERT,QUAD,35,,
-111.978853,33.078993,356.92,408639.3624,3660470.163,2,185414.6,0.3,165.2,0,VERT,QUAD,35,,
-111.978853,33.078993,356.97,408639.3623,3660470.152,2,185415.8,0.38,177.3,0,VERT,QUAD,35,,
-111.978853,33.078993,356.94,408639.3532,3660470.186,2,185417.4,0.31,348.5,0,VERT,QUAD,35,,
-111.978853,33.078993,356.96,408639.353,3660470.163,2,185417.6,0.3,173.6,0,VERT,QUAD,35,,
-111.978853,33.078993,356.95,408639.381,3660470.163,2,185419.2,0.02,330.9,0,VERT,QUAD,35,,
-111.978853,33.078992,357.05,408639.3896,3660470.085,2,185420.6,0.25,163.4,0,VERT,QUAD,35,,
-111.978853,33.078993,357.03,408639.3897,3660470.096,2,185420.8,0.3,322.2,0,VERT,QUAD,35,,
-111.978853,33.078992,357.05,408639.4079,3660470.041,2,185421.6,0.32,147.1,0,VERT,QUAD,35,,
-111.978853,33.078992,357.04,408639.408,3660470.052,2,185421.8,0.13,338.2,0,VERT,QUAD,36,,
-111.978853,33.078992,357.05,408639.4078,3660470.03,2,185422.2,0.03,163.4,0,VERT,QUAD,36,,
-111.978853,33.078992,357.09,408639.4077,3660470.019,2,185422.6,0.28,160.3,0,VERT,QUAD,36,,
-111.978853,33.078992,357.07,408639.4169,3660470.008,2,185423.6,0.31,166.1,0,VERT,QUAD,35,,
-111.978853,33.078992,357.06,408639.426,3660469.985,2,185424.6,0.33,159.7,0,VERT,QUAD,35,,
-111.978853,33.078992,357.06,408639.4167,3660469.985,2,185425,0.1,316.8,0,VERT,QUAD,34,,
-111.978853,33.078992,357.06,408639.4166,3660469.974,2,185425.6,0.23,179.4,0,VERT,QUAD,35,,
-111.978853,33.078992,357.05,408639.4168,3660469.996,2,185426.4,0.14,4,0,VERT,QUAD,36,,
-111.978853,33.078992,357.05,408639.4259,3660469.974,2,185427.6,0.25,151,0,VERT,QUAD,37,,
-111.978853,33.078992,357.04,408639.4076,3660470.008,2,185429.8,0.41,334.4,0,VERT,QUAD,37,,
-111.978853,33.078992,356.99,408639.4074,3660469.985,2,185431.2,0.04,146.5,0,VERT,QUAD,37,,
-111.978853,33.078992,356.97,408639.3983,3660470.008,2,185431.4,0.23,337.2,0,VERT,QUAD,37,,
-111.978853,33.078992,357,408639.3981,3660469.997,2,185431.6,0.26,162.1,0,VERT,QUAD,37,,
-111.978853,33.078992,356.98,408639.3889,3660470.008,2,185431.8,0.35,324.2,0,VERT,QUAD,37,,
-111.978853,33.078992,356.97,408639.3888,3660469.997,2,185432,0.25,153.7,0,VERT,QUAD,37,,
-111.978853,33.078992,356.96,408639.3796,3660470.008,2,185432.4,0.24,334.2,0,VERT,QUAD,37,,
-111.978853,33.078992,356.98,408639.398,3660469.986,2,185432.6,0.29,156.6,0,VERT,QUAD,37,,
-111.978853,33.078992,356.96,408639.3979,3660469.974,2,185433.6,0.36,154.6,0,VERT,QUAD,37,,
-111.978853,33.078991,356.97,408639.3885,3660469.963,2,185433.8,0.19,336.1,0,VERT,QUAD,37,,
-111.978853,33.078992,356.96,408639.3886,3660469.975,2,185434,0.16,340.8,0,VERT,QUAD,37,,
-111.978853,33.078992,356.97,408639.3887,3660469.986,2,185434.8,0.15,0,0,VERT,QUAD,37,,
-111.978853,33.078992,356.95,408639.3794,3660469.986,2,185435.4,0.16,329.1,0,VERT,QUAD,37,,
-111.978853,33.078991,356.97,408639.3978,3660469.963,2,185435.8,0.18,174.8,0,VERT,QUAD,37,,
-111.978853,33.078992,356.95,408639.3793,3660469.975,2,185437,0.12,279.6,0,VERT,QUAD,37,,
-111.978853,33.078991,356.96,408639.3792,3660469.964,2,185437.6,0.32,165.8,0,VERT,QUAD,37,,
-111.978853,33.078991,356.94,408639.3791,3660469.952,2,185438.8,0.17,207.7,0,VERT,QUAD,37,,
-111.978853,33.078991,356.94,408639.3698,3660469.964,2,185439.6,0.35,170.7,0,VERT,QUAD,37,,
-111.978853,33.078991,356.95,408639.3697,3660469.953,2,185440.6,0.19,170.6,0,VERT,QUAD,37,,
-111.978853,33.078992,356.93,408639.3699,3660469.975,2,185441.4,0.25,355.3,0,VERT,QUAD,37,,
-111.978853,33.078991,356.91,408639.379,3660469.941,2,185441.8,0.13,140,0,VERT,QUAD,37,,
-111.978853,33.078991,356.9,408639.3883,3660469.941,2,185442,0.19,119.6,0,VERT,QUAD,37,,
-111.978853,33.078992,356.93,408639.3606,3660469.975,2,185442.4,0.51,324.1,0,VERT,QUAD,38,,
