Longitude,Latitude,UTC_Time,Mean,UTMX,UTMY
-111.9900512,33.0743807,145957,40.5,407589.3484,3659968.586
-111.9900531,33.0743891,145958,40.5,407589.1798,3659969.519
-111.9900557,33.0743975,145959,41.76923077,407588.9459,3659970.453
-111.9900576,33.0744059,150000,42.35714286,407588.7774,3659971.386
-111.9900579,33.0744143,150001,41.15384615,407588.7581,3659972.317
-111.9900568,33.0744227,150002,41.07142857,407588.8696,3659973.248
-111.9900562,33.0744311,150003,42.21428571,407588.9344,3659974.178
-111.9900574,33.0744393,150004,41.61538462,407588.8309,3659975.089
-111.9900573,33.0744477,150005,44.42857143,407588.8491,3659976.02
-111.9900543,33.0744564,150006,45.76923077,407589.1382,3659976.982
-111.9900534,33.0744647,150007,43.14285714,407589.2309,3659977.901
-111.9900528,33.0744729,150008,43.28571429,407589.2955,3659978.81
-111.9900526,33.0744814,150009,40.15384615,407589.323,3659979.752
-111.990053,33.0744902,150010,42.14285714,407589.2949,3659980.728
-111.9900522,33.0744989,150011,40.5,407589.3786,3659981.692
-111.9900535,33.0745074,150012,41.23076923,407589.2662,3659982.635
-111.9900551,33.074516,150013,44.21428571,407589.1258,3659983.59
-111.9900549,33.0745246,150014,45.30769231,407589.1535,3659984.543
-111.9900546,33.0745332,150015,47.57142857,407589.1905,3659985.497
-111.9900535,33.0745413,150016,44.64285714,407589.3016,3659986.394
-111.9900524,33.0745493,150017,40.76923077,407589.4127,3659987.28
-111.990055,33.0745576,150018,47.78571429,407589.1787,3659988.202
-111.9900575,33.0745654,150019,48.61538462,407588.9535,3659989.069
-111.9900556,33.074574,150020,50,407589.1398,3659990.021
-111.9900518,33.0745829,150021,45.85714286,407589.5038,3659991.004
-111.9900513,33.0745915,150022,47.84615385,407589.5595,3659991.957
-111.9900543,33.0745998,150023,48.92857143,407589.2881,3659992.88
-111.9900575,33.0746078,150024,46.71428571,407588.9978,3659993.77
-111.9900584,33.0746162,150025,48.53846154,407588.9226,3659994.702
-111.9900589,33.0746247,150026,55.5,407588.8848,3659995.645
-111.9900581,33.0746332,150027,54.92307692,407588.9683,3659996.587
-111.990056,33.0746419,150028,51.14285714,407589.1735,3659997.549
-111.9900545,33.0746506,150029,52.85714286,407589.3226,3659998.512
-111.9900543,33.074659,150030,55.30769231,407589.35,3659999.444
-111.9900546,33.0746676,150031,53.28571429,407589.331,3660000.397
-111.9900555,33.0746762,150032,53,407589.256,3660001.352
-111.9900544,33.0746847,150033,53.15384615,407589.3676,3660002.293
-111.9900532,33.0746932,150034,52.35714286,407589.4885,3660003.234
-111.9900543,33.0747014,150035,52.76923077,407589.3944,3660004.144
-111.9900561,33.0747098,150036,54.42857143,407589.2351,3660005.077
-111.9900571,33.0747184,150037,54.71428571,407589.1508,3660006.032
-111.9900594,33.0747267,150038,56.46153846,407588.9448,3660006.954
-111.9900598,33.074735,150039,52.64285714,407588.9161,3660007.874
-111.9900552,33.074744,150040,55.35714286,407589.3549,3660008.868
-111.9900567,33.0747527,150041,50.38461538,407589.224,3660009.834
-111.990059,33.0747609,150042,55,407589.0179,3660010.745
-111.9900578,33.0747691,150043,51.15384615,407589.1385,3660011.653
-111.9900584,33.0747771,150044,48.42857143,407589.0908,3660012.541
-111.9900588,33.0747854,150045,48.14285714,407589.0622,3660013.461
-111.9900577,33.074794,150046,47.69230769,407589.1738,3660014.414
-111.9900561,33.0748021,150047,51.28571429,407589.3316,3660015.31
-111.9900495,33.0748103,150048,50.76923077,407589.9563,3660016.214
-111.9900439,33.0748176,150049,45.64285714,407590.4866,3660017.018
-111.990066,33.0749338,150110,68.64285714,407588.5453,3660029.92
-111.9900658,33.074935,150111,68.21428571,407588.5652,3660030.053
-111.9900658,33.0749365,150112,68.23076923,407588.5667,3660030.22
-111.9900661,33.0749388,150113,68.07142857,407588.5411,3660030.475
-111.9900672,33.0749416,150114,67.71428571,407588.4414,3660030.786
-111.9900676,33.0749437,150115,71.92857143,407588.4063,3660031.019
-111.9900691,33.0749464,150116,55.69230769,407588.2691,3660031.32
-111.9900715,33.0749489,150117,47.92857143,407588.0477,3660031.599
-111.990072,33.0749522,150118,40.38461538,407588.0044,3660031.966
-111.9900722,33.0749547,150119,41.14285714,407587.9884,3660032.243
-111.9900717,33.0749565,150120,54.5,407588.0369,3660032.442
-111.9900709,33.0749583,150121,66.23076923,407588.1135,3660032.641
-111.9900702,33.0749602,150122,68.14285714,407588.1808,3660032.851
-111.9900696,33.0749617,150123,68.30769231,407588.2384,3660033.017
-111.9900696,33.0749635,150124,68.92857143,407588.2403,3660033.216
-111.9900693,33.0749652,150125,69.28571429,407588.2701,3660033.405
-111.9900691,33.0749669,150126,66.14285714,407588.2905,3660033.593
-111.9900695,33.0749689,150127,56.30769231,407588.2553,3660033.815
-111.9900717,33.0749711,150128,52.21428571,407588.0522,3660034.061
-111.9900704,33.0749696,150129,47.92857143,407588.172,3660033.893
-111.9900719,33.0749702,150130,45.23076923,407588.0326,3660033.961
-111.9900751,33.0749722,150131,47.35714286,407587.736,3660034.186
-111.9900766,33.0749746,150132,38,407587.5985,3660034.453
-111.9900766,33.0749771,150133,39.46153846,407587.6011,3660034.73
-111.9900768,33.07498,150134,45,407587.5855,3660035.052
-111.9900771,33.074983,150135,44.92857143,407587.5606,3660035.385
-111.9900772,33.0749871,150136,37.61538462,407587.5556,3660035.84
-111.9900773,33.0749918,150137,29.42857143,407587.5511,3660036.361
-111.9900767,33.0749959,150138,33.30769231,407587.6114,3660036.815
-111.9900752,33.0749989,150139,32.71428571,407587.7546,3660037.146
-111.9900733,33.0750017,150140,28.92857143,407587.9349,3660037.455
-111.990071,33.0750041,150141,25.61538462,407588.152,3660037.719
-111.9900684,33.0750064,150142,25.42857143,407588.3971,3660037.972
