Year,SOIL_DATE,Plot,Core,Depth,SLSND,SLSLT,SLCLY,SLSND2,SLSLT2,SLCLY2,UTMX,UTMY
2016,2016-05-01,804,2016-p08-4,60,55.7,21.0,23.2,63.2,22.1,14.8,408814.777,3660424.834
2016,2016-05-01,804,2016-p08-4,100,45.1,27.6,27.2,54.4,33.2,12.4,408814.777,3660424.834
2016,2016-05-01,804,2016-p08-4,140,43.7,25.0,31.2,50.7,34.5,14.8,408814.777,3660424.834
2016,2016-05-01,804,2016-p08-4,180,68.9,14.6,16.5,78.0,16.2,5.8,408814.777,3660424.834
2016,2016-05-01,901,2016-p09-1,20,51.9,17.7,30.4,61.4,21.0,17.6,408802.4495,3660545.057
2016,2016-05-01,901,2016-p09-1,60,57.9,17.7,24.4,67.6,20.4,11.9,408802.4495,3660545.057
2016,2016-05-01,901,2016-p09-1,100,57.6,16.0,26.4,66.7,19.8,13.5,408802.4495,3660545.057
2016,2016-05-01,901,2016-p09-1,140,64.2,21.6,14.2,75.9,20.5,3.6,408802.4495,3660545.057
2016,2016-05-01,901,2016-p09-1,180,71.2,14.3,14.5,82.0,14.2,3.8,408802.4495,3660545.057
2016,2016-05-01,902,2016-p09-2,20,50.6,21.0,28.4,61.1,22.9,16.0,408801.8382,3660505.0539999995
2016,2016-05-01,902,2016-p09-2,60,60.6,16.0,23.4,71.6,16.2,12.1,408801.8382,3660505.0539999995
2016,2016-05-01,902,2016-p09-2,100,66.6,16.0,17.4,78.0,16.2,5.8,408801.8382,3660505.0539999995
2016,2016-05-01,902,2016-p09-2,140,47.9,20.0,32.1,57.2,27.0,15.8,408801.8382,3660505.0539999995
2016,2016-05-01,902,2016-p09-2,180,67.9,11.6,20.4,77.1,15.3,7.7,408801.8382,3660505.0539999995
2016,2016-05-01,903,2016-p09-3,20,53.2,21.3,25.4,63.3,20.5,16.2,408801.21379999997,3660465.052
2016,2016-05-01,903,2016-p09-3,60,52.6,25.3,22.2,63.2,26.1,10.7,408801.21379999997,3660465.052
2016,2016-05-01,903,2016-p09-3,100,47.9,27.9,24.2,57.2,32.7,10.1,408801.21379999997,3660465.052
2016,2016-05-01,903,2016-p09-3,140,47.9,22.0,30.2,58.1,29.4,12.5,408801.21379999997,3660465.052
2016,2016-05-01,903,2016-p09-3,180,62.6,20.0,17.4,71.9,22.0,6.1,408801.21379999997,3660465.052
2016,2016-05-01,904,2016-p09-4,20,52.6,25.3,22.2,63.2,26.9,9.9,408800.6282,3660425.0490000006
2016,2016-05-01,904,2016-p09-4,60,54.2,20.7,25.1,64.4,23.9,11.7,408800.6282,3660425.0490000006
2016,2016-05-01,904,2016-p09-4,100,46.6,29.4,24.1,56.8,35.2,8.0,408800.6282,3660425.0490000006
2016,2016-05-01,904,2016-p09-4,140,51.2,16.3,32.4,59.7,23.8,16.5,408800.6282,3660425.0490000006
2016,2016-05-01,904,2016-p09-4,180,75.9,12.0,12.1,86.2,10.5,3.3,408800.6282,3660425.0490000006
2016,2016-05-01,1001,2016-p10-1,20,51.8,18.0,30.2,62.3,20.3,17.4,408788.2235,3660545.273
2016,2016-05-01,1001,2016-p10-1,60,54.5,14.9,30.5,63.5,19.9,16.6,408788.2235,3660545.273
2016,2016-05-01,1001,2016-p10-1,100,53.9,22.6,23.5,64.4,25.4,10.3,408788.2235,3660545.273
2016,2016-05-01,1001,2016-p10-1,140,43.5,24.7,31.8,52.1,33.3,14.6,408788.2235,3660545.273
2016,2016-05-01,1001,2016-p10-1,180,61.5,19.7,18.8,71.8,22.3,5.9,408788.2235,3660545.273
2016,2016-05-01,1002,2016-p10-2,20,53.5,19.7,26.8,63.5,23.3,13.3,408787.607,3660505.271
2016,2016-05-01,1002,2016-p10-2,60,50.2,26.0,23.8,60.1,29.0,11.0,408787.607,3660505.271
2016,2016-05-01,1002,2016-p10-2,100,58.5,26.3,15.2,67.2,26.3,6.5,408787.607,3660505.271
2016,2016-05-01,1002,2016-p10-2,140,58.9,25.6,15.4,69.7,26.9,3.3,408787.607,3660505.271
2016,2016-05-01,1002,2016-p10-2,180,59.5,22.4,18.2,67.4,22.6,10.0,408787.607,3660505.271
2016,2016-05-01,1003,2016-p10-3,20,55.5,22.3,22.2,61.7,25.5,12.8,408787.0004,3660465.268
