"","UTMX","UTMY","SLSND015","SLSND045","SLSND075","SLSND105","SLSND135","SLSND165","SLSLT015","SLSLT045","SLSLT075","SLSLT105","SLSLT135","SLSLT165","SLCLY015","SLCLY045","SLCLY075","SLCLY105","SLCLY135","SLCLY165","SLWP1015","SLWP1045","SLWP1075","SLWP1105","SLWP1135","SLWP1165","SLWP2015","SLWP2045","SLWP2075","SLWP2105","SLWP2135","SLWP2165","SLFC1015","SLFC1045","SLFC1075","SLFC1105","SLFC1135","SLFC1165"
"4812",409333,3659199,72.3830666617313,68.7791092618711,62.9911182618839,68.2086918127598,72.8362083771049,76.6314840883313,9.96580845792551,9.40424054750749,13.0201147826237,12.0349903727253,10.7435624562491,7.14127905067715,17.7094929609115,22.0528360099131,24.146176208406,19.2767454234703,16.4103539856541,16.6942884344314,0.13423818228559,0.157033442573657,0.176768808802886,0.14281065003445,0.130667937511166,0.155388455953212,0.141289652795395,0.189312563643128,0.203036149124958,0.164436769167196,0.153816636937549,0.169113144948958,0.240338346867845,0.281923448405865,0.286337602870733,0.263455367752205,0.232523004760351,0.266898067698457
"4813",409334,3659199,72.2364139756753,68.7570574476927,62.9570538522497,68.1847500396065,72.7806407288646,76.5230316626745,10.0670876874137,9.51552667138953,13.0267896146215,12.0980622621493,10.9177562529594,7.17234804109325,17.6916361510158,21.9080681962007,24.1584882261696,19.1641163489501,16.4169544500788,16.743568519775,0.134132161983247,0.15725715758755,0.1776918198838,0.143542160634857,0.131239919361213,0.155831971939252,0.140403508899089,0.18859529191928,0.202005432320525,0.164099645744954,0.153943479144674,0.169828640701924,0.239702703809788,0.281546500611162,0.286419910281737,0.263167145362755,0.232988785933258,0.267296378416387
"4814",409335,3659199,72.0871329468572,68.7563087137142,62.9322918109707,68.1608984016059,72.724906093214,76.4071353998767,10.1709616880681,9.62557588251827,13.0327833866852,12.1608640417441,11.1026923019282,7.20781919432736,17.670322911372,21.7338339500317,24.1637348387319,19.0517546309324,16.4239005549641,16.7939949446042,0.133986705973197,0.157448963269297,0.178551081903328,0.144298303336042,0.131832322857243,0.156277176145511,0.139398502016776,0.18764044566349,0.200859881976932,0.163775935839543,0.154080290903513,0.170578268236388,0.238888016345355,0.28093121272562,0.286449160482467,0.262879364327185,0.233528491399032,0.267680820085196
"4815",409336,3659199,71.9368487601491,68.7720105985233,62.9153198859671,68.1396338974445,72.6696248239748,76.2881603171049,10.2765159624068,9.73335269146932,13.0381086473933,12.222272628018,11.2952940075048,7.24626007655737,17.6462405980951,21.539376678472,24.1632602093021,18.9390504979838,16.4309992955205,16.8436898563036,0.133817719681391,0.15761634393125,0.179363543265071,0.145062767400046,0.132439962563443,0.1567186008387,0.138322037431236,0.186510988740223,0.199636862062918,0.163452872912301,0.154216883169466,0.171312311583513,0.237951985260145,0.280151244936196,0.286440608258821,0.262582361599185,0.234108110727977,0.268044650233136
"4816",409337,3659199,71.7870403997579,68.8001743041367,62.9046193444586,68.1222821634021,72.6154085108973,76.1693695828098,10.3828966868772,9.83801023000159,13.0428537441125,12.281370933356,11.4917638943663,7.28659723033459,17.6200371235135,21.3322570567629,24.1582562359958,18.8265707799654,16.438227977469,16.8912906734097,0.13363644437095,0.15776480199247,0.18014278237335,0.145823869194354,0.133058710085325,0.157151138213344,0.137217675093713,0.185255711527622,0.19836846688974,0.163124456812135,0.154347232467292,0.171988323805723,0.236935587128805,0.279263336023651,0.286406749327258,0.262270046264658,0.23470216552711,0.268382341406318
"4817",409338,3659199,71.6392286291214,68.8371774398775,62.8984834969078,68.1091083307617,72.5629256648762,76.0532818588178,10.4891927737939,9.93881403399417,13.0471885187808,12.3373506184884,11.6867863408737,7.32799082955797,17.5924632973312,21.1192425623612,24.1499157203876,18.7161678036743,16.4457374004181,16.9358104020045,0.133450630482343,0.157898488600287,0.180900754574173,0.146572861915608,0.133685092207198,0.157569391671323,0.136130581949651,0.183915020917938,0.197085882154435,0.16279063175366,0.154468761884049,0.172565597583133,0.23586825540086,0.278314219063298,0.28635898132972,0.261939297876105,0.235290881843616,0.268688927261199
"4818",409339,3659199,71.4951812835837,68.8792565664161,62.8948135553735,68.0993716641428,72.5129766026011,75.9420068859052,10.5943049918047,10.0350649954781,13.0513751545575,12.3894129551243,11.8725406059915,7.36971495064857,17.5645336067144,20.9072116668646,24.1395953451391,18.6111779389255,16.4538668763562,16.9765120991145,0.1332655750163,0.158020788801593,0.181649535268493,0.147302289556662,0.134315900502033,0.157966955992877,0.135113476441367,0.182526589494516,0.195824003460004,0.16245677262521,0.154581823810028,0.172999334802781,0.234772686353564,0.277347376036668,0.286309313123918,0.261589495113568,0.235857521554058,0.26895933509016
"4819",409340,3659199,71.3570793939764,68.9221081255692,62.8909494728337,68.0913393690262,72.4665556990524,75.8374942654301,10.6968380382188,10.1260401842956,13.0557786581883,12.4366913205568,12.037799918235,7.41106672298881,17.5376630735239,20.7038602226204,24.1289476678871,18.5166201536408,16.4631614400897,17.0128198889731,0.1330848512656,0.158134749488495,0.182402663593371,0.148004711570567,0.134947891678658,0.158335820271826,0.134231445913892,0.181129659137871,0.19462515673248,0.162133434117342,0.154689401789355,0.173235978148125,0.233668400578103,0.276408191081548,0.286271718534172,0.261222221401811,0.236386405321865,0.269187863939019
"4820",409341,3659199,71.2275045612167,68.9608118780542,62.8836863472442,68.082428814287,72.4248413481078,75.7416442524672,10.7951078355157,10.2109869992179,13.0608549420587,12.4782394958818,12.1680134074339,7.4513259689453,17.5136671155707,20.5178309407083,24.1199314715504,18.4390163460846,16.4743450927382,17.0442692986584,0.132910806316304,0.158243289361364,0.183175454381915,0.148672227425761,0.135577673892662,0.15866639169022,0.133561708676289,0.179766400328386,0.193539407405273,0.161835469540095,0.154796605400288,0.173212874871814,0.232573604398094,0.275545552770774,0.286262357035268,0.260840876903348,0.236862077045465,0.269368112364469
"4821",409342,3659199,71.108994406176,68.9904648420008,62.8697485687692,68.0697827894176,72.3890056117814,75.6561868245899,10.8874310749574,10.2892355357175,13.0670767574888,12.5131661069543,12.2480305805523,7.48980462911778,17.4944208827242,20.3575788139259,24.1145364469578,18.385150395709,16.4881667131616,17.0705026324132,0.132744957661542,0.158349079058031,0.183983133589326,0.149297583472736,0.136201952013289,0.158949040560461,0.133181199057308,0.178477407890656,0.192616917419322,0.161578906567309,0.15490918919632,0.172868011594975,0.231504509939575,0.274806354580963,0.286297253358384,0.260449710441413,0.237270430038504,0.269493906363863
