Year,SOIL_DATE,Core,Depth,SLSND,SLSLT,SLCLY,SLTX,SLWP1,SLWP2,SLFC1,UTMX,UTMY
2014,5/1/2014,2014-p04-3,45,50.4,16.72,32.88,Sandy Clay Loam,0.117734724,0.152944804,0.210762332,408927.4293,3660468.514
2014,5/1/2014,2014-p04-3,75,50.4,26.72,22.88,Sandy Clay Loam,0.139177399,0.14680918,0.232704403,408927.4293,3660468.514
2014,5/1/2014,2014-p04-3,105,52.4,16.72,30.88,Sandy Clay Loam,0.097425962,0.111405836,0.201348748,408927.4293,3660468.514
2014,5/1/2014,2014-p04-3,135,58.4,22.72,18.88,Sandy Loam,0.101130461,0.114264094,0.206857143,408927.4293,3660468.514
2014,5/1/2014,2014-p04-3,165,60.4,16.72,22.88,Sandy Clay Loam,,0.101029356,0.17911354,408927.4293,3660468.514
2014,5/1/2014,2014-p04-4,15,50.4,16.72,32.88,Sandy Clay Loam,0.120982304,0.12804878,0.177184466,408927.8811,3660497.717
2014,5/1/2014,2014-p04-4,45,50.4,16.72,32.88,Sandy Clay Loam,0.111959288,0.115687679,0.185090909,408927.8811,3660497.717
2014,5/1/2014,2014-p04-4,75,52.4,12.72,34.88,Sandy Clay Loam,0.129646985,0.14354959,0.223333333,408927.8811,3660497.717
2014,5/1/2014,2014-p04-4,105,50.4,14.72,34.88,Sandy Clay Loam,0.14664311,0.142731664,0.229156509,408927.8811,3660497.717
2014,5/1/2014,2014-p04-4,135,52.4,20.72,26.88,Sandy Clay Loam,0.107427478,0.133102253,0.199929972,408927.8811,3660497.717
2014,5/1/2014,2014-p04-4,165,62.4,12.72,24.88,Sandy Clay Loam,0.166605234,0.098770177,0.149358974,408927.8811,3660497.717
2014,5/1/2014,2014-p04-5,15,48.4,20.72,30.88,Sandy Clay Loam,0.107181918,0.113024283,0.160573123,408928.3164,3660526.92
2014,5/1/2014,2014-p04-5,45,50.4,18.72,30.88,Sandy Clay Loam,0.103602058,0.110551075,0.163408336,408928.3164,3660526.92
2014,5/1/2014,2014-p04-5,75,56.4,16.72,26.88,Sandy Clay Loam,0.10642935,0.118824265,0.152960526,408928.3164,3660526.92
2014,5/1/2014,2014-p04-5,105,44.4,14.72,40.88,Clay,0.131235955,0.152806227,0.249812734,408928.3164,3660526.92
2014,5/1/2014,2014-p04-5,135,52.4,21.44,26.16,Sandy Clay Loam,0.113095238,0.126333333,0.191307324,408928.3164,3660526.92
