Year,SOIL_DATE,Core,Depth,SLSND,SLSLT,SLCLY,SLTX,GWC15,GWC05,GWC.3,SLWP1,SLWP2,SLFC1,UTMX,UTMY
2009,2009-05-01,2009-p06-7,165.0,65.67999999999999,13.760000000000005,20.560000000000002,Sandy Clay Loam,0.07419590643274857,0.09568733153638802,0.16117478510028668,0.11871345029239772,0.15309973045822084,0.2578796561604587,407519.3399999998,3660029.000000003
2009,2009-05-01,2009-p07-1,15.0,63.67999999999999,20.159999999999997,16.160000000000004,Sandy Loam,0.06795058139534901,0.08054936896807728,0.13763949949272936,0.10872093023255842,0.12887899034892367,0.22022319918836697,407505.1159999998,3659870.000000003
2009,2009-05-01,2009-p07-1,45.0,49.67999999999999,30.159999999999997,20.160000000000004,Sandy Clay Loam,0.07564575645756447,0.09269442262372346,0.18137254901960775,0.12103321033210315,0.14831107619795755,0.2901960784313724,407505.1159999998,3659870.000000003
2009,2009-05-01,2009-p07-1,75.0,62.03999999999999,19.80000000000001,18.160000000000004,Sandy Loam,0.07615526802218096,0.08646063281824876,0.14466130884041334,0.12184842883548955,0.13833701250919803,0.23145809414466134,407505.1159999998,3659870.000000003
2009,2009-05-01,2009-p07-1,105.0,62.03999999999999,17.80000000000001,20.160000000000004,Sandy Clay Loam,0.06915084199211727,0.08627314006287107,0.1549982584465343,0.11064134718738763,0.1380370241005937,0.24799721351445492,407505.1159999998,3659870.000000003
2009,2009-05-01,2009-p07-1,135.0,63.32,16.159999999999997,20.520000000000003,Sandy Clay Loam,0.07704527402700545,0.09861212563915277,0.148951554591468,0.12327243844320873,0.15777940102264443,0.2383224873463488,407505.1159999998,3659870.000000003
2009,2009-05-01,2009-p07-1,165.0,63.32,18.159999999999997,18.520000000000003,Sandy Loam,0.08560447239692508,0.09592233009708734,0.1699650756693834,0.13696715583508012,0.15347572815533975,0.27194412107101346,407505.1159999998,3659870.000000003
2009,2009-05-01,2009-p07-2,15.0,64.76,16.679999999999993,18.560000000000002,Sandy Loam,0.06603400553578495,0.08058891902363417,0.13492373875635522,0.10565440885725592,0.12894227043781467,0.21587798201016836,407505.1159999998,3659896.500000003
2009,2009-05-01,2009-p07-2,45.0,65.67999999999999,17.760000000000005,16.560000000000002,Sandy Loam,0.0663399924613647,0.07816333683841584,0.1354969574036513,0.10614398793818353,0.12506133894146534,0.2167951318458421,407505.1159999998,3659896.500000003
2009,2009-05-01,2009-p07-2,75.0,63.67999999999999,17.400000000000006,18.920000000000005,Sandy Loam,0.06529787950185113,0.07609101081685962,0.1397300255381247,0.10447660720296181,0.1217456173069754,0.22356804086099952,407505.1159999998,3659896.500000003
2009,2009-05-01,2009-p07-2,105.0,55.67999999999999,21.400000000000006,22.920000000000005,Sandy Clay Loam,0.08421750663129983,0.09908536585365858,0.1712265600983705,0.13474801061007974,0.15853658536585374,0.2739624961573928,407505.1159999998,3659896.500000003
2009,2009-05-01,2009-p07-2,135.0,61.67999999999999,19.400000000000006,18.920000000000005,Sandy Loam,0.07142857142857131,0.09042984590429803,0.14973594283939134,0.1142857142857141,0.14468775344687687,0.23957750854302617,407505.1159999998,3659896.500000003
2009,2009-05-01,2009-p07-2,165.0,61.67999999999999,17.400000000000006,20.920000000000005,Sandy Clay Loam,0.08112874779541436,0.10062661260597143,0.17587765033020503,0.12980599647266297,0.1610025801695543,0.2814042405283281,407505.1159999998,3659896.500000003
2009,2009-05-01,2009-p07-3,15.0,65.67999999999999,17.400000000000006,16.920000000000005,Sandy Loam,0.06029723991507407,0.07923497267759566,0.14082928651475515,0.09647558386411852,0.12677595628415306,0.22532685842360825,407505.1159999998,3659923.000000003
2009,2009-05-01,2009-p07-3,45.0,61.67999999999999,17.760000000000005,20.560000000000002,Sandy Clay Loam,0.0769495018893849,0.09533386967015275,0.15037282518641304,0.12311920302301585,0.15253419147224442,0.24059652029826087,407505.1159999998,3659923.000000003
2009,2009-05-01,2009-p07-3,75.0,61.67999999999999,17.760000000000005,20.560000000000002,Sandy Clay Loam,0.1243961352657006,0.09649805447470804,0.16011466011466,0.19903381642512097,0.15439688715953287,0.256183456183456,407505.1159999998,3659923.000000003
2009,2009-05-01,2009-p07-3,105.0,64.03999999999999,13.400000000000006,22.560000000000002,Sandy Clay Loam,0.09279517163334566,0.11056853854203005,0.18388157894736853,0.14847227461335308,0.17690966166724809,0.29421052631578964,407505.1159999998,3659923.000000003
2009,2009-05-01,2009-p07-3,135.0,61.67999999999999,15.760000000000005,22.560000000000002,Sandy Clay Loam,0.08379446640316195,0.10014836795252238,0.1660036166365276,0.13407114624505911,0.1602373887240358,0.2656057866184442,407505.1159999998,3659923.000000003
2009,2009-05-01,2009-p07-3,165.0,65.67999999999999,15.760000000000005,18.560000000000002,Sandy Loam,0.08801665179898926,0.09807482746095154,0.14756302521008408,0.14082664287838284,0.1569197239375225,0.23610084033613454,407505.1159999998,3659923.000000003
2009,2009-05-01,2009-p07-4,15.0,65.67999999999999,18.159999999999997,16.160000000000004,Sandy Loam,0.06132812500000001,0.08462505236698767,0.13808975834292264,0.09812500000000002,0.13540008378718027,0.22094361334867624,407505.1159999998,3659949.500000003
2009,2009-05-01,2009-p07-4,45.0,55.67999999999999,18.159999999999997,26.160000000000004,Sandy Clay Loam,0.07256046705588,0.09829406986190098,0.16758457907159738,0.116096747289408,0.15727051177904158,0.2681353265145558,407505.1159999998,3659949.500000003
2009,2009-05-01,2009-p07-4,75.0,57.68,14.159999999999997,28.16,Sandy Clay Loam,0.07356321839080439,0.10142630744849455,0.1728639240506328,0.11770114942528703,0.1622820919175913,0.2765822784810125,407505.1159999998,3659949.500000003
2009,2009-05-01,2009-p07-4,105.0,57.68,14.159999999999997,28.16,Sandy Clay Loam,0.10207274149393848,0.10913312693498424,0.16963973417278772,0.16331638639030158,0.1746130030959748,0.27142357467646033,407505.1159999998,3659949.500000003
2009,2009-05-01,2009-p07-4,135.0,66.2,16.36,17.439999999999998,Sandy Loam,0.08544776119402982,0.1,0.14878892733564006,0.13671641791044772,0.16000000000000003,0.2380622837370241,407505.1159999998,3659949.500000003
2009,2009-05-01,2009-p07-4,165.0,62.2,16.36,21.439999999999998,Sandy Clay Loam,0.09249377445748821,0.10921501706484653,0.17188003869719443,0.14799003913198114,0.17474402730375446,0.2750080619155111,407505.1159999998,3659949.500000003
2009,2009-05-01,2009-p07-5,15.0,63.839999999999996,18.320000000000007,17.839999999999996,Sandy Loam,0.0623295675886252,0.08999613750482804,0.13948339483394837,0.09972730814180032,0.14399382000772487,0.2231734317343174,407505.1159999998,3659976.000000003
2009,2009-05-01,2009-p07-5,45.0,62.03999999999999,15.400000000000006,22.560000000000002,Sandy Clay Loam,0.07094846900672137,0.10050041701417835,0.1684251660804997,0.1135175504107542,0.16080066722268538,0.2694802657287995,407505.1159999998,3659976.000000003
2009,2009-05-01,2009-p07-5,75.0,56.39999999999999,19.040000000000006,24.560000000000002,Sandy Clay Loam,0.07323420074349439,0.10441240716470074,0.18019359642591234,0.11717472118959103,0.1670598514635212,0.2883097542814598,407505.1159999998,3659976.000000003
2009,2009-05-01,2009-p07-5,105.0,52.400000000000006,17.039999999999992,30.560000000000002,Sandy Clay Loam,0.10674931129476564,0.12223472065991743,0.18388278388278376,0.17079889807162504,0.1955755530558679,0.294212454212454,407505.1159999998,3659976.000000003
2009,2009-05-01,2009-p07-5,135.0,55.67999999999999,19.760000000000005,24.560000000000002,Sandy Clay Loam,0.10100659493231506,0.10925644916540252,0.18307856381087798,0.16161055189170412,0.17481031866464403,0.29292570209740476,407505.1159999998,3659976.000000003
2009,2009-05-01,2009-p07-5,165.0,63.67999999999999,15.760000000000005,20.560000000000002,Sandy Clay Loam,0.09590517241379315,0.10470156718906304,0.17276662731208192,0.15344827586206905,0.16752250750250086,0.2764266036993311,407505.1159999998,3659976.000000003
2009,2009-05-01,2009-p07-6,15.0,64.4,15.399999999999991,20.2,Sandy Clay Loam,0.06814971751412428,0.09080675422138844,0.14437869822485191,0.10903954802259885,0.1452908067542215,0.23100591715976307,407505.1159999998,3660002.500000003
2009,2009-05-01,2009-p07-6,45.0,62.03999999999999,15.400000000000006,22.560000000000002,Sandy Clay Loam,0.0713775874375446,0.09776055124892316,0.1603053435114505,0.11420413990007137,0.15641688199827708,0.25648854961832085,407505.1159999998,3660002.500000003
2009,2009-05-01,2009-p07-6,75.0,67.67999999999999,13.760000000000005,18.560000000000002,Sandy Loam,0.06327800829875536,0.07777354174609222,0.13457164518574669,0.10124481327800859,0.12443766679374756,0.21531463229719472,407505.1159999998,3660002.500000003
2009,2009-05-01,2009-p07-6,105.0,68.03999999999999,15.760000000000005,16.2,Sandy Loam,0.06869070208728661,0.07292506043513305,0.12583444592790374,0.10990512333965859,0.11668009669621289,0.201335113484646,407505.1159999998,3660002.500000003
2009,2009-05-01,2009-p07-6,135.0,70.03999999999999,13.400000000000006,16.560000000000002,Sandy Loam,0.0667396061269146,0.0717439293598235,0.1194029850746269,0.10678336980306335,0.11479028697571761,0.19104477611940307,407505.1159999998,3660002.500000003
